Regulation;Dokumentreferenz
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.12.9.2
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.4
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 0.8.5
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 2.5.3.2
FCL.505.A ATPL(A) – Restriction of privileges for pilots previously holding an MPL;OM-D (29) 3.12.6
FCL.505.A ATPL(A) – Restriction of privileges for pilots previously holding an MPL;OM-D (29) 3.12.11
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 2.5.1.5.5
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 0.8.5
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 0.8.4
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 2.1.17.3
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 2.5.3.3.1
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 3.12.11
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 0.8.1
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 2.5.3.4.7
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 2.1.5.1
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 2.1.17.5
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 1.3.1
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 2.5.2.2
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 2.5.1.5
FCL.510.A ATPL(A) – Prerequisites, experience and crediting;OM-D (29) 2.5.1.5.6
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.4.8
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.12.9.3
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.2.5
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.4.7
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.3.1.1
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.4.1
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.4.9
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.5.4.1
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.4.6
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.4.6.3
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.4.6.2
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.4.6.1
FCL.520.A ATPL(A) – Skill test;OM-D (29) 3.4.4
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.10
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.1.5.2
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.1.5.1
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.1.5
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.1.5.3
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.1.5.6
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.2.3.5
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.2.3.4.9
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.3.1
GM1 FCL.520.A ATPL(A) — Skill test;OM-D (29) 3.4.8
GM1 FCL.520.A ATPL(A) — Skill test;OM-D (29) 3.12.9.3
GM1 FCL.520.A ATPL(A) — Skill test;OM-D (29) 3.3.1.1
GM1 FCL.520.A ATPL(A) — Skill test;OM-D (29) 3.4.7
GM1 FCL.520.A ATPL(A) — Skill test;OM-D (29) 3.4.1
GM1 FCL.520.A ATPL(A) — Skill test;OM-D (29) 3.4.6.3
GM1 FCL.520.A ATPL(A) — Skill test;OM-D (29) 3.4.6
GM1 FCL.520.A ATPL(A) — Skill test;OM-D (29) 3.4.9
GM1 FCL.520.A ATPL(A) — Skill test;OM-D (29) 3.2.5
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.5.1.5.5
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 0.8.5
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 0.8.4
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.1.17.3
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.5.3.3.1
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 3.12.11
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 0.8.1
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.5.3.4.7
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.5.3.4.1
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.1.5.1
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.1.17.5
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 1.3.1
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.5.2.3.4.3
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.5.1.5.6
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.5.2.2
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 3.8.1
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.5.3.2
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 2.5.1.5
FCL.510.H ATPL(H) – Prerequisites, experience and crediting;OM-D (29) 1.3.6.4
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 1.3.6
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 0.8.4
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 0.8.5
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 2.5.1.5.5
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 2.5.1.5.6
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 1.3.1
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 0.8.1
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 3.12.11
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 2.5.2.4.2
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 2.5.3.3.1
AMC1 FCL.510.H(f) ATPL(H) — Prerequisites, experience and crediting;OM-D (29) 2.5.4.1
FCL.520.H ATPL(H) – Skill test;OM-D (29) 3.4.8
FCL.520.H ATPL(H) – Skill test;OM-D (29) 3.12.9.3
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.10
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.1.5.2
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.1.5.1
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.1.5
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.1.5.3
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.1.5.6
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.2.3.5
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.2.3.4.9
"AMC1 FCL.520.A; FCL.520.H";OM-D (29) 2.5.3.1
FCL.600 IR – General;OM-D (29) 0.1.4.1
FCL.600 IR – General;OM-D (29) 1.1.1.1
FCL.600 IR – General;OM-D (29) 1.1.1.2
FCL.600 IR – General;OM-D (29) 1.1.1.3
FCL.600 IR – General;OM-D (29) 1.1.1.4
FCL.600 IR – General;OM-D (29) 1.1.1.6
FCL.600 IR – General;OM-D (29) 1.1.1.8
FCL.600 IR – General;OM-D (29) 2.1.4.1
FCL.600 IR – General;OM-D (29) 2.1.15
FCL.600 IR – General;OM-D (29) 2.1.16.4.1
FCL.600 IR – General;OM-D (29) 2.1.16.4.2
FCL.600 IR – General;OM-D (29) 2.2.1.2.1
FCL.600 IR – General;OM-D (29) 2.2.1.3.1
FCL.600 IR – General;OM-D (29) 2.2.1.3.2
FCL.600 IR – General;OM-D (29) 2.2.1.5
FCL.600 IR – General;OM-D (29) 2.3.7
FCL.600 IR – General;OM-D (29) 2.5.1.5
FCL.600 IR – General;OM-D (29) 2.5.4.1.1
FCL.600 IR – General;OM-D (29) 3.4.14
FCL.600 IR – General;OM-D (29) 3.6.1.6
FCL.600 IR – General;OM-D (29) 0.1.4.2
FCL.605 IR – Privileges and conditions;OM-D (29) 1.3.6
FCL.605 IR – Privileges and conditions;OM-D (29) 0.8.6
FCL.605 IR – Privileges and conditions;OM-D (29) 0.7.2
FCL.605 IR – Privileges and conditions;OM-D (29) 3.4.1
FCL.605 IR – Privileges and conditions;OM-D (29) 3.4.12
FCL.610 IR – Prerequisites and crediting;OM-D (29) 2.5.1.5.5
FCL.610 IR – Prerequisites and crediting;OM-D (29) 0.8.5
FCL.610 IR – Prerequisites and crediting;OM-D (29) 0.8.1
FCL.610 IR – Prerequisites and crediting;OM-D (29) 2.5.3.3.1
FCL.610 IR – Prerequisites and crediting;OM-D (29) 0.8.4
FCL.610 IR – Prerequisites and crediting;OM-D (29) 2.5.1.5
FCL.610 IR – Prerequisites and crediting;OM-D (29) 2.5.1.5.6
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 1.1.1.8
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.3.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 3.4.14
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 0.8.5
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.6.1
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 1.3.6.4
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.4.5.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.16.2.1
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.4.1
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.4.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.5.1
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.5.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.4.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.2.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.5.4
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.4.3
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.31
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.48.1
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.17.1
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.2.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.4.5
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.4.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.5.6
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 1.3.1
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.2
FCL.615 IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.5.2
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.2
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 2.14
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.12.9.2
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 1.19
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.14
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.4
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 0.8.5
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.2
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 2.14
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.12.9.2
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 1.19
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.4
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.6.2
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.6.3
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 0.5.4
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.4.1
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.4.2
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.3.2
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 3.12.9.2
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.4.3
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.3
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 3.4.14
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.16.2.1
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 1.3.6.4
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.4.5.2
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.2.1.1.1
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.5.1
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.5.4
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.1.6.1
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.1
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 0.8.2
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 1.3.1
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.4.1.2.2
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.5.6
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.4.5
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.5.2
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.5.3
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.3.2
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.2.5
AMC1 FCL.615(b) IR – Theoretical knowledge and flight instruction;OM-D (29) 2.5.1.2
FCL.620 IR – Skill test;OM-D (29) 3.4.8
FCL.620 IR – Skill test;OM-D (29) 3.12.9.3
FCL.620 IR – Skill test;OM-D (29) 3.2.5
FCL.620 IR – Skill test;OM-D (29) 3.4.7
FCL.620 IR – Skill test;OM-D (29) 3.3.1.1
FCL.620 IR – Skill test;OM-D (29) 3.4.1
FCL.620 IR – Skill test;OM-D (29) 3.4.9
FCL.620 IR – Skill test;OM-D (29) 3.5.4.1
FCL.620 IR – Skill test;OM-D (29) 3.4.6
FCL.620 IR – Skill test;OM-D (29) 3.4.6.3
FCL.620 IR – Skill test;OM-D (29) 3.4.6.2
FCL.620 IR – Skill test;OM-D (29) 3.4.6.1
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 2.1.28
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 2.2.3.2
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 2.5.3.4.7
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 60.745
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 3.4.12
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 3.12.10
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 2.1.28.5
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 60.531
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 2.1.2.8
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 2.1.28.2
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 2.1.28.8
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 3.13.4
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 2.1.28.7
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 2.1.28.3
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 3.8.1
FCL.625 IR – Validity, revalidation and renewal;OM-D (29) 2.1.28.4
AMC1 FCL.625(c) IR – Validity, revalidation and renewal;OM-D (29) 60.745
AMC1 FCL.625(c) IR – Validity, revalidation and renewal;OM-D (29) 3.4.12
AMC1 FCL.625(c) IR – Validity, revalidation and renewal;OM-D (29) 3.12.10
AMC1 FCL.625(c) IR – Validity, revalidation and renewal;OM-D (29) 2.1.2.8
AMC1 FCL.625(c) IR – Validity, revalidation and renewal;OM-D (29) 60.531
FCL.620.A IR(A) – Skill test;OM-D (29) 3.4.8
FCL.620.A IR(A) – Skill test;OM-D (29) 3.12.9.3
FCL.620.A IR(A) – Skill test;OM-D (29) 3.2.5
FCL.620.A IR(A) – Skill test;OM-D (29) 3.4.7
FCL.620.A IR(A) – Skill test;OM-D (29) 3.3.1.1
FCL.620.A IR(A) – Skill test;OM-D (29) 3.4.1
FCL.620.A IR(A) – Skill test;OM-D (29) 3.4.9
FCL.620.A IR(A) – Skill test;OM-D (29) 3.5.4.1
FCL.620.A IR(A) – Skill test;OM-D (29) 3.4.6
FCL.620.A IR(A) – Skill test;OM-D (29) 3.4.6.3
FCL.620.A IR(A) – Skill test;OM-D (29) 3.4.4
FCL.620.A IR(A) – Skill test;OM-D (29) 3.4.6.2
FCL.620.A IR(A) – Skill test;OM-D (29) 3.4.6.1
FCL.625.A IR(A) – Revalidation;OM-D (29) 2.5.3.4.7
FCL.625.A IR(A) – Revalidation;OM-D (29) 60.745
FCL.625.A IR(A) – Revalidation;OM-D (29) 2.1.2.8
FCL.625.A IR(A) – Revalidation;OM-D (29) 3.4.12
FCL.625.A IR(A) – Revalidation;OM-D (29) 3.12.10
FCL.625.H IR(H) – Revalidation;OM-D (29) 2.5.3.4.7
FCL.625.H IR(H) – Revalidation;OM-D (29) 60.745
FCL.625.H IR(H) – Revalidation;OM-D (29) 2.1.2.8
FCL.625.H IR(H) – Revalidation;OM-D (29) 3.4.12
FCL.625.H IR(H) – Revalidation;OM-D (29) 3.12.10
FCL.630.H IR(H) – Extension of the privileges of an IR(H) to further helicopter types;OM-D (29) 2.5.2.3.4.7
FCL.630.H IR(H) – Extension of the privileges of an IR(H) to further helicopter types;OM-D (29) 2.5.2.3.4.6
AMC1 FCL.630.H IR(H) — Extension of the privileges of an IR(H) to further helicopter types;OM-D (29) 2.5.2.3.4.7
AMC1 FCL.630.H IR(H) — Extension of the privileges of an IR(H) to further helicopter types;OM-D (29) 2.5.2.3.4.6
FCL.620.As IR(As) – Skill test;OM-D (29) 3.4.8
FCL.620.As IR(As) – Skill test;OM-D (29) 3.12.9.3
FCL.625.As IR(As) – Revalidation;OM-D (29) 2.5.3.4.7
FCL.625.As IR(As) – Revalidation;OM-D (29) 60.745
FCL.625.As IR(As) – Revalidation;OM-D (29) 2.1.2.8
FCL.625.As IR(As) – Revalidation;OM-D (29) 3.4.12
FCL.625.As IR(As) – Revalidation;OM-D (29) 3.12.10
FCL.700 Circumstances in which class or type ratings are required;OM-D (29) 3.12.7
AMC1 FCL.700 Circumstances in which class or type ratings are required;OM-D (29) 3.12.7
GM1 FCL.700 Circumstances in which class or type ratings are required;OM-D (29) 3.12.7
FCL.705 Privileges of the holder of a class or type rating;OM-D (29) 0.8.6
FCL.710 Class and type ratings – variants;OM-D (29) 3.12.8
FCL.710 Class and type ratings – variants;OM-D (29) 2.2.1.3
GM1 FCL.710 Class and type ratings – variants;OM-D (29) 3.12.8
GM1 FCL.710 Class and type ratings – variants;OM-D (29) 2.2.1.3
GM1 FCL.710 Class and type ratings – variants;OM-D (29) 2.1.27
GM1 FCL.710 Class and type ratings – variants;OM-D (29) 2.2.1.5
GM1 FCL.710 Class and type ratings – variants;OM-D (29) 3.12.9
GM1 FCL.710 Class and type ratings – variants;OM-D (29) 3.12.9.1
GM1 FCL.710 Class and type ratings – variants;OM-D (29) 3.12.9.2
GM1 FCL.710 Class and type ratings – variants;OM-D (29) 3.12.10
GM1 FCL.710 Class and type ratings – variants;OM-D (29) 3.12.11
GM1 FCL.710 Class and type ratings – variants;OM-D (29) 2.1.28.8
FCL.725 Requirements for the issue of class and type ratings;OM-D (29) 3.12.7
FCL.725 Requirements for the issue of class and type ratings;OM-D (29) 3.12.8
FCL.725 Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.1
FCL.725 Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.2
FCL.725 Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.3
FCL.725 Requirements for the issue of class and type ratings;OM-D (29) 3.12.10
FCL.725 Requirements for the issue of class and type ratings;OM-D (29) 3.12.11
FCL.725 Requirements for the issue of class and type ratings;OM-D (29) 3.4.8
FCL.725 Requirements for the issue of class and type ratings;OM-D (29) 3.4.12
AMC1 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.7
AMC1 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.8
AMC1 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.1
AMC1 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.2
AMC1 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.3
AMC1 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.10
AMC1 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.11
AMC2 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.7
AMC2 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.8
AMC2 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.1
AMC2 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.2
AMC2 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.3
AMC2 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.10
AMC2 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 3.12.11
AMC2 FCL.725(a) Requirements for the issue of class and type ratings;OM-D (29) 0.8.6
GM1 FCL.725(d)(4)(ii)(B)(2) Requirements for the issue of class and type ratings;OM-D (29) 3.12.7
GM1 FCL.725(d)(4)(ii)(B)(2) Requirements for the issue of class and type ratings;OM-D (29) 3.12.8
GM1 FCL.725(d)(4)(ii)(B)(2) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.1
GM1 FCL.725(d)(4)(ii)(B)(2) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.2
GM1 FCL.725(d)(4)(ii)(B)(2) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.3
GM1 FCL.725(d)(4)(ii)(B)(2) Requirements for the issue of class and type ratings;OM-D (29) 3.12.10
GM1 FCL.725(d)(4)(ii)(B)(2) Requirements for the issue of class and type ratings;OM-D (29) 3.12.11
GM1 FCL.725(e) Requirements for the issue of class and type ratings;OM-D (29) 3.12.7
GM1 FCL.725(e) Requirements for the issue of class and type ratings;OM-D (29) 3.12.8
GM1 FCL.725(e) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.1
GM1 FCL.725(e) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.2
GM1 FCL.725(e) Requirements for the issue of class and type ratings;OM-D (29) 3.12.9.3
GM1 FCL.725(e) Requirements for the issue of class and type ratings;OM-D (29) 3.12.10
GM1 FCL.725(e) Requirements for the issue of class and type ratings;OM-D (29) 3.12.11
GM1 FCL.725(e) Requirements for the issue of class and type ratings;OM-D (29) 0.8.6
FCL.740 Validity and renewal of class and type ratings;OM-D (29) 3.12.9
AMC1 FCL.740(b) Validity and renewal of class and type ratings;OM-D (29) 2.1.2.8
AMC1 FCL.740(b) Validity and renewal of class and type ratings;OM-D (29) 2.1.28
AMC1 FCL.740(b) Validity and renewal of class and type ratings;OM-D (29) 2.1.28.8
AMC1 FCL.740(b) Validity and renewal of class and type ratings;OM-D (29) 2.1.28.5
AMC1 FCL.740(b) Validity and renewal of class and type ratings;OM-D (29) 2.1.33
GM1 FCL.740(b) Validity and renewal of class and type ratings;OM-D (29) 2.1.2.8
GM1 FCL.740(b) Validity and renewal of class and type ratings;OM-D (29) 2.1.28
GM1 FCL.740(b) Validity and renewal of class and type ratings;OM-D (29) 2.1.28.8
GM1 FCL.740(b) Validity and renewal of class and type ratings;OM-D (29) 2.1.28.5
GM1 FCL.740(b) Validity and renewal of class and type ratings;OM-D (29) 2.1.33
FCL.720.A Experience requirements and prerequisites for the issue of class or type ratings – aeroplanes;OM-D (29) 3.12.11
FCL.720.A Experience requirements and prerequisites for the issue of class or type ratings – aeroplanes;OM-D (29) 3.12.8
FCL.720.A Experience requirements and prerequisites for the issue of class or type ratings – aeroplanes;OM-D (29) 3.12.7
FCL.720.A Experience requirements and prerequisites for the issue of class or type ratings – aeroplanes;OM-D (29) 3.12.10
FCL.720.A Experience requirements and prerequisites for the issue of class or type ratings – aeroplanes;OM-D (29) 3.12.9.2
FCL.720.A Experience requirements and prerequisites for the issue of class or type ratings – aeroplanes;OM-D (29) 3.12.9.1
FCL.720.A Experience requirements and prerequisites for the issue of class or type ratings – aeroplanes;OM-D (29) 3.12.9.3
